1 'em	'em
12211 demster	demster
12212 demulcent	chung se mem
12213 demur	demur
12214 demure	doan Trang
12215 demurrage	demurrage
12216 demurral	demurral
12217 demurrer	demurrer
12218 demy	demy
12219 denarius	denarius
12220 denationalizing	khu quoc tich
12221 denaturalizing	bien tinh
12222 dendrachate	dendrachate
12223 dendrite	dendrite
12224 dendritical	co duoi gai
12225 dendroid	dendroid
12226 dendrolite	dendroles
12227 dendrologist	chuyen gia dendrologist
12228 dendrologous	nguoi trong cay
12229 dendrology	dendrology
12230 dendrometer	dendrometer
12231 denegation	su ha thap
12232 denigrator	nguoi giem pha
12233 denim	vai denim
12234 denitrification	khu nito
12235 denitrify	denitrify
12236 denize	toi bien
12237 denizenation	su phu nhan
12238 denizenize	den bien cua ban
12239 denmark satin	sa tanh denmark
12240 dennet	dennet
12241 denomination	menh gia
12242 denominationalism	chu nghia giao phai
12243 denominationalist	nguoi theo chu nghia giao phai
12244 denominationally	thuoc giao phai
12245 denote	chung to
12246 denounced	bi to cao
12247 denouncement	su to cao
12248 denseless	khong day dac
12249 densimeter	may do mat do
12250 density	Ti trong
12251 dent	sut me
12252 dentalism	chu nghia nha khoa
12253 dented	bi mop
12254 dentex	dentex
12255 dential	dential
12256 dentiform	dentiform
12257 dentifrice	kem danh rang
12258 dentiloquy	Nha khoa
12259 dentine	dentine
12260 dentiroster	dentiroster
12261 dentirostral	dentirostral
12262 dentirostrate	dentirostrate
12263 dentiscalp	dentiscalp
12264 dentistry	nha khoa
12265 dentizing	lam rang gia
12266 dentolingual	thuoc ve rang ham mat
12267 denture	rang gia
12268 denudate	boc mon
12269 denudation	su boc mon
12270 denunciatory	to cao
12271 denutrition	thieu dinh duong
12272 deobstruct	deobstruct
12273 deodand	khu mui va
12274 deodorant	chat khu mui
12275 deodorizer	may khu mui
12276 deontological	deontological
12277 deontologist	nha sinh vat hoc
12278 deontology	deontology
12279 deoperculate	khu tinh
12280 deoppilation	deoppilation
12281 deoppilative	deoppilative
12282 deoxidize	khu doc to
12283 deoxidizer	chat khu oxy
12284 deoxygenate	deoxygenate
12285 depainter	depainter
12286 depardieux	depardieux
12287 departable	co the khoi hanh
12288 departed	ra di
12289 departer	dep hon
12290 departing	khoi hanh
12291 department	Phong ban
12292 departmental	phong ban
12293 departure	su khoi hanh
12294 depascent	ho an co
12295 depatriate	nguoi hoi huong
12296 depauperize	rut kinh nghiem
12297 depeach	depeach
12298 dependance	xay dung ngoai troi
12299 dependingly	tuy theo
12300 dephlegmate	dephlegmate
12301 dephlegmated	loan thi
12302 dephlegmating	lam mat thi luc
12303 dephlegmatory	khu dom
12304 dephlogisticated	dephlogisticated
12305 dephlogisticcate	dephlogisticcate
12306 dephosphorization	su khu photpho
12307 depiction	su mieu ta
12308 depilatory	lam rung long
12309 depilous	nhung ke hen nhat
12310 deplantation	tai canh
12311 deplete	triet binh
12312 deplication	su mo phong
12313 deplorable	thuong tam
12314 deplorableness	su dang trach
12315 deplumation	su boc lot
12316 deplume	deplume
12317 depolarizing	khu cuc
12318 depolishing	lam tan lui
12319 deponent	cung khai
12320 depopulated	mat dan so
12321 depopulating	giam tai
12322 depopulation	giam dong
12323 deposable	co the ky gui
12324 deposit	dat coc
12325 depositaries	tien gui
12326 depositary	luu chieu
12327 deposition	lang dong
12328 depositor	nguoi gui tien
12329 depositories	ky gui
12330 depository	luu ky
12331 depositum	Tien gui ky quy
12332 depositure	tien dat coc
12333 deprecable	phe truat
12334 deprecate	Ko tan thanh
12335 depreciator	nguoi khau hao
12336 depreciatory	khau hao
12337 depredable	san moi
12338 depredated	suy kiet
12339 depredator	nguoi ha be
12340 depredatory	boc lot
12341 depreicate	mat gia
12342 depression	Phien muon
12343 depressive	tram cam
12344 depressor	nguoi suy nhuoc
12345 depth	chieu sau
12346 depthen	depthen
12347 depthless	khong co chieu sau
12348 depulse	ra khoi
12349 depurative	thanh loc
12350 deputies	dai bieu
12351 deputing	xuat phat
12352 deracinate	deracinate
12353 deraign	giang chuc
12354 deraignment	lech vi tri
12355 deranged	loan tri
12356 deranger	deranger
12357 deranging	sap xep trat tu
12358 deray	Deray
12359 derby	tran derby
12360 derbyshire spar	derbyshire spar
12361 derdoing	derdoing
12362 derelict	vo chu
12363 dereligionize	phi lien ket
12364 derf	derf
12365 derider	nguoi dan xuat
12366 derivable	co the dan xuat duoc
12367 deriving	dan xuat
12368 derk	derk
12369 dermaptera	Dermaptera
12370 dermapteran	Dermapteran
12371 dermatine	Dermatine
12372 dermatologist	bac si da lieu
12373 dermatophyte	da lieu
12374 dermestes	dermeste
12375 dermobranchiata	dermobranchiata
12376 dermobranchiate	dermobranchiate
12377 dermohaemal	dermohaemal
12378 dermoid	dermoid
12379 dermopteran	Dermopteran
12380 dermopterygii	shitopterogy
12381 dermostosis	dermostosis
12382 dern	dern
12383 dernly	nghiem nghi
12384 derogator	ke xuc pham
12385 derogatoriness	su ha be
12386 derre	dang kia
12387 derrick	derrick
12388 derring	derring
12389 derringer	derringer
12390 dertrotheca	dertrotheca
12391 dervis	dervis
12392 dervise	dervise
12393 dervish	dervish
12394 derworth	derworth
12395 descant	de chung di xuong
12396 descanter	binh gan
12397 descendibility	hau due
12398 descension	su giang xuong
12399 describable	Co the mo ta
12400 describing	mieu ta
12401 description	su mo ta
12402 desecration	su mao pham
12403 desecrator	nguoi mo ta
12404 desertful	hoang vang
12405 deserting	dao ngu
12406 desertion	su dao ngu
12407 desertless	khong co sa mac
12408 deservedness	su xung dang
12409 desiccant	chat hut am
12410 desiccate	phoi kho
12411 desiccation	su lam kho
12412 desiccator	binh hut am
12413 desideration	su suy xet
12414 desidious	desidei
12415 designable	co the chi dinh
12416 designator	nguoi chi dinh
12417 designedly	duoc thiet ke
12418 designer	nha thiet ke
12419 designful	co thiet ke
12420 designless	khong co thiet ke
12421 desinent	ho se ket thuc
12422 desipient	ho se that vong
12423 desirableness	su khao khat
12424 desireless	khong ham muon
12425 desirer	nguoi ham muon
12426 desirously	dang mo uoc
12427 desirousness	su ham muon
12428 desist	desist
12429 desistive	quyet doan
12430 desition	su mo uoc
12431 desitive	desitive
12432 desked	desked
12433 desking	desking
12434 deskwork	ban giay
12435 desman	Desman
12436 desmid	desmid
12437 desmidian	nguoi desmidian
12438 desmine	desmine
12439 desmobacteria	vi khuan desmobacteria
12440 desmodont	desmodont
12441 desmognathous	Desmognathus
12442 desmoid	desmoid
12443 desmology	desmology
12444 desmomyaria	desmomyaria
12445 desolateness	su hoang vang
12446 desolator	nguoi lam hoang vang
12447 desolatory	hoang tan
12448 despairer	ke tuyet vong
12449 desperado	NGUÒI LIÈU MẠNG
12450 desperadoes	nhung ke tuyet vong
12451 despicableness	su hen ha
12452 despisement	su khinh thuong
12453 despiser	ho an
12454 despoiled	bi day doa
12455 despoilment	su sa doa
12456 despoliation	su tuyet vong
12457 despondingly	dang that vong
12458 desponsation	su chan nan
12459 despotism	che do chuyen quyen
12460 desquamate	lam bong troc
12461 desquamative	co nhieu can ba
12462 destin	destin
12463 destinable	co the dinh menh
12464 destinies	so phan
12465 destining	diem den
12466 destinist	nguoi dinh menh
12467 destituent	cho ho xuong
12468 destitution	co cuc
12469 destrie	destrie
12470 destroyed	bi pha huy
12471 destroyer	ke huy diet
12472 destructibleness	tinh huy diet
12473 destructor	nguoi pha huy
12474 desudation	su tay rua
12475 desuetude	loi thoi
12476 desulphurated	khu bao hoa
12477 desulphurating	khu chat long
12478 desulphurize	khu luu huynh
12479 desultorious	sa doa
12480 desynonymization	desynonymization
12481 desynonymize	desynonymize
12482 detailer	thong tin chi tiet
12483 detailing	chi tiet
12484 detainder	nguoi bat giu
12485 detectable	co the phat hien duoc
12486 detectible	co the be duoc
12487 detecting	do tim
12488 detection	su phat hien
12489 detective	tham tu
12490 deterge	tay rua
12491 detergent	chat tay rua
12492 determinability	kha nang xac dinh
12493 determinateness	tinh xac dinh
12494 determiner	nguoi xac dinh
12495 deterration	su ran de
12496 deterring	ran de
12497 detersion	su tach roi
12498 detestableness	su dang ghet
12499 detested	chan ghet
12500 detesttate	ban ghet
12501 dethroner	dethroner
12502 detonator	ngoi no
12503 detort	no bien dang
12504 detortion	su giem pha
12505 detracor	loi giem pha
12506 detractiveness	su dem pha
12507 detrite	Tre con
12508 detruncation	su be gay
12509 detteles	no day roi
12510 detumescence	su bung phat
12511 detur	duoc dua ra
12512 deturbation	su lam phien
12513 deuced	ha be
12514 deuse	Chua la
12515 deut-	deut-
12516 deuterocanonical	deuterocanonical
12517 deuterogamist	deuterogamist
12518 deuterogamy	deuterogamy
12519 deuterogenic	deuterogenic
12520 deuteronomist	mau so
12521 deuteronomy	deuteronomy
12522 deuteropathic	deuteropathic
12523 deuteropathy	benh deuteropathy
12524 deuteroscopy	phuong phap noi soi
12525 deuterozooid	deuterozooid
12526 deuthydroguret	deuthydroguret
12527 deutohydroguret	deutohydroguret
12528 deutoplasm	deutoplasm
12529 deutoplastic	deutoplastic
12530 deutosulphuret	deutosulphuret
12531 deutoxide	deutoxide
12532 deutzia	deutzia
12533 dev	nha phat trien
12534 deva	deva
12535 devanagari	devanagari
12536 devata	devata
12537 deve	anh ta phai
12538 develin	lac da cua ban
12539 develop	phat trien, xay dung
12540 developable	co the phat trien
12541 devenustate	tro thanh cong chung
12542 devex	lo lom
12543 deviator	ke lech lac
12544 devil bird	chim quy
12545 devil's darning-needle	kim tiem cua quy
12546 devil-diver	tho lan ma quy
12547 deviless	nu quy
12548 devilet	ta dao
12549 devilfish	ca quy
12550 devilish	quy quai
12551 devilism	chu nghia ma quy
12552 devilize	quy hoa
12553 devilling	di chech huong
12554 devilship	quy du
12555 devilwood	cay quy
12556 devirginate	devirginate
12557 devisable	khong the coi thuong
12558 devisee	nguoi sang tao
12559 deviser	deviser
12560 devitalize	lay lai suc song
12561 devocalize	tieu hao
12562 devon	devon
12563 devoutless	khong sung dao
12564 devoutly	sung dao
12565 devoutness	su sung dao
12566 devove	cong hien
12567 dew-point	diem suong
12568 dewdrop	giot suong
12569 dewed	dong suong
12570 dewfall	suong roi
12571 dewing	dewing
12572 dewlap	vai bo
12573 dewlapped	phu suong
12574 dewless	khong co suong
12575 dewretting	do nuoc bot
12576 dewy	co suong
12577 dexterous	lanh tay
12578 dextrad	dextrad
12579 dextral	dextral
12580 dextrer	dexter
12581 dextrin	dextrin
12582 dextrogerous	thuoc ve hai ben
12583 dextroglucose	dextroglucose
12584 dextrogyrate	dextrogyrate
12585 dextronic	dextronic
12586 dextrorotatory	dextrorotatory
12587 dextrorsal	dextrorsal
12588 dextrorse	dextrorse
12589 dextrose	dextrose
12590 dey	dey
12591 deynte	chu no
12592 deyntee	mon no nao
12593 deys	deys
12594 dezincification	dezinci hoa
12595 dezincify	dezincify
12596 dhole	trong cai trong
12597 dhony	dhoni
12598 di-	tu-
12599 diabetes	Benh tieu duong
12600 diablerie	diablerie
12601 diabolism	benh tieu duong
12602 diacatholicon	diacatholicon
12603 diacaustic	diacaustic
12604 diachylon	diachylon
12605 diachylum	diachylum
12606 diacodium	diacodium
12607 diaconal	diaconal
12608 diaconate	diaconate
12609 diacope	diacope
12610 diacoustic	diacoustic
12611 diacritic	am tieu
12612 diacritical	dau phu
12613 diactinic	diactinic
12614 diadelphia	diadelphia
12615 diadelphian	diadelphian
12616 diadelphous	diadelphous
12617 diadem	diadem
12618 diadrom	diadrom
12619 diaereses	diaereses
12620 diaeretic	diaeretic
12621 diageotropic	diageotropic
12622 diageotropism	diageotropism
12623 diagnosticate	duoc chan doan
12624 diagnostics	chan doan
12625 diagonally	theo duong cheo
12626 diagonial	duong cheo
12627 diagraphic	hinh ve so do
12628 diaheliotropic	diaheliotropic
12629 diaheliotropism	diaheliotropism
12630 dialectal	phuong ngu
12631 dialectically	mot cach bien chung
12632 dialectician	nha bien chung
12633 dialectics	phep bien chung
12634 dialectology	phuong ngu hoc
12635 dialector	may quay so
12636 dialist	nguoi quay so
12637 dialled	da quay so
12638 diallel	diallel
12639 diallyl	diallyl
12640 dialogite	nhung cuoc doi thoai
12641 dialogize	doi thoai
12642 dialogue	hoi thoai
12643 dialysis	loc mau
12644 dialyzation	su loc mau
12645 dialyzer	may loc mau
12646 diamagnet	diamagnet
12647 diamagnetism	nghich tu
12648 diamantine	diamantine
12649 diametrical	duong kinh
12650 diamide	diamide
12651 diamido-	diamido-
12652 diamine	diamine
12653 diamond-back	kim cuong tro lai
12654 diamond-shaped	hinh kim cuong
12655 diamondize	kim cuong hoa
12656 diamylene	diamylene
12657 dian	dian
12658 diana	diana
12659 diandria	diandria
12660 diandrian	diandrian
12661 diandrous	diandros
12662 dianium	dianium
12663 dianoetic	dianoetic
12664 dianoialogy	dianoialogy
12665 dianthus	dianthus
12666 diapason	am thoa
12667 diapente	diapante
12668 diapering	quan ta
12669 diaphaned	co mat mui
12670 diaphaneity	diaphaneity
12671 diaphanic	diaphanic
12672 diaphanie	diaphanie
12673 diaphanoscope	kinh luong tinh
12674 diaphanotype	kieu diaphanotype
12675 diaphonic	diaphonic
12676 diaphonics	luong am
12677 diaphoresis	chay mo hoi
12678 diaphoretical	diaphoretic
12679 diaphote	diaphote
12680 diaphragm	mang ngan
12681 diaphysis	diaphysis
12682 diapnoic	luong danh
12683 diapophysis	diapophysis
12684 diarchy	diarchy
12685 diarrhoetic	tieu chay
12686 diarthrodial	diarthrodial
12687 diary	Nhat ky
12688 diaspore	diaspora
12689 diastasic	diastasic
12690 diastasis	di tinh
12691 diastatic	diastatic
12692 diastem	diastem
12693 diastema	diastema
12694 diaster	tho nuong banh mi
12695 diastolic	tam truong
12696 diastyle	diastyle
12697 diatessaron	diatessaron
12698 diathermancy	diathermancy
12699 diathermaneity	diathermaneity
12700 diathermanism	thuyet diatherman
12701 diathermometer	diathermometer
12702 diathermous	diathermic
12703 diatomic	diatomic
12704 diatomous	tao cat
12705 diatonic	diatonic
12706 diatribe	dau khau
12707 diatribist	nguoi viet kinh luan
12708 diatryma	diatryma
12709 diazeutic	diazeutic
12710 diazo-	diazo-
12711 diazotize	diazotize
12712 dibasic	dibasic
12713 dibbler	nguoi dao lon hot
12714 dibranchiata	dibranchiata
12715 dibranchiate	dibranchiate
12716 dibs	dibs
12717 dibstone	dibstone
12718 dibutyl	dibutyl
12719 dicacity	do mo duc
12720 dicalcic	dicalcic
12721 dicarbonic	dicarbonic
12722 dicastery	dicastery
12723 dice	xuc xac
12724 dicebox	hop dung xuc xac
12725 dicentra	dicenter
12726 dicephalous	dicephalous
12727 dichloride	diclorua
12728 dichotomous	luong phan
12729 dichromate	dicromat
12730 dicing	cat hat luu
12731 dickcissel	dickcissel
12732 dicker	ke ranh manh
12733 dicoccous	di cau
12734 dicotyledon	cay hai la mam
12735 dicotyledonous	hai la mam
12736 dicrotal	dicrotal
12737 dicrotic	dicrotic
12738 dictamnus	dictamnus
12739 dictatress	nguoi doc tai
12740 dictatrix	nha doc tai
12741 dictature	che do doc tai
12742 dictionalrian	nguoi da huong
12743 dictums	doc chinh ta
12744 dictyogen	dictyogen
12745 dicyanide	dicyanide
12746 dicyemata	DCmeta
12747 dicyemid	dicyemid
12748 dicynodont	dicynodont
12749 didacticism	thuyet giao huan
12750 didactyl	didactyl
12751 didactylous	didactylous
12752 didapper	didapps
12753 didascalar	didascalar
12754 didascalic	giao khoa
12755 didelphia	did Philadelphia
12756 didelphian	didelphian
12757 didelphic	nguoi day hoc
12758 didelphid	did helphis
12759 didelphous	didelphus
12760 didelphyc	didelphys
12761 didine	ho dua ra
12762 dido	dido
12763 didonia	didonia
12764 didrachm	didrachm
12765 didrachma	didrachma
12766 didst	da lam
12767 didym	didym
12768 didynamia	didynamia
12769 didynamian	didynamian
12770 diecian	diecian
12771 diegesis	thuoc giam can
12772 dielectric	chat dien moi
12773 dielytra	dielytra
12774 diencephalon	diencephalon
12775 diereses	loai vat
12776 dies irae	Ngay gian du
12777 dies juridicus	chet juridicus
12778 dies non	chet khong
12779 diestock	diestock
12780 diet	che do an
12781 dieter	nguoi an kieng
12782 diethylamine	dietylamin
12783 dietical	chet choc
12784 dietine	dietine
12785 dieting	an kieng
12786 dietitian	chuyen gia dinh duong
12787 differentia	Su khac biet
12788 difficultate	voi kho khan
12789 diffidence	thiéu tụ tin
12790 difflation	giam phat
12791 diffluent	chung chay
12792 diffractive	nhieu xa
12793 diffusely	lan toa
12794 diffuseness	su lan toa
12795 diffuser	may khuech tan
12796 diffusibility	kha nang khuech tan
12797 diffusibleness	tinh khuech tan
12798 diffusive	khuech tan
12799 diffusivity	su khuech tan
12800 digamma	digamma
12801 digammated	bi tieu hoa
12802 digenea	digenea
12803 digenesis	digenesis
12804 digest	tieu
12805 digester	lo dao
12806 digestible	tieu hoa duoc
12807 digestibleness	kha nang tieu hoa
12808 diggable	co the dao duoc
12809 dighter	toi hon
12810 digitalis	digitalis
12811 digitize	so hoa
12812 digitorium	ky thuat so
12813 digitule	anh sang ky thuat so
12814 digladiation	khu khi
12815 diglottism	thuyet lac so
12816 diglyph	diglyph
12817 dignation	su lac de
12818 dignification	su trang nghiem
12819 dignified	dung dan, nghiem tuc
12820 dignify	dang hoang
12821 dignitary	chuc sac
12822 dignity	pham gia
12823 digram	digram
12824 digraph	digraph
12825 digraphic	digraphic
12826 digressively	lac de
12827 digynia	digynia
12828 digynian	digynian
12829 digynous	mo am
12830 dihedral	nhi dien
12831 dihedron	luong dien
12832 dihexagonal	luong sac
12833 diiamb	diiamb
12834 diiambus	diiambus
12835 diiodide	diot
12836 diisatogen	distatogen
12837 dijucating	it cha la
12838 dijudicant	hay de ho quyet dinh
12839 dijudicate	quyet dinh
12840 dika	Nhu la
12841 dilapidating	do nat
12842 dilapidator	Chat pha loang
12843 dilatedly	gian ra
12844 dilating	gian no
12845 dilation	su gian no
12846 dilatometer	may do do loang
12847 dilator	chat lam loang
12848 dildo	duong vat gia
12849 dilection	lech huong
12850 dilemma	tinh trang kho xu
12851 dilettanti	nghiep du
12852 dilettantism	chu nghia cao quy
12853 diligency	su sieng nang
12854 dill	rau thi la
12855 dilling	tinh tien
12856 dilogies	bai phat bieu
12857 dilogy	dilogy
12858 dilucidate	lam sang to ban than
12859 dilucidation	lam loang ra
12860 diluter	chat pha loang
12861 dilution	pha loang
12862 diluvia	tran lut lon
12863 diluvial	loang
12864 diluvian	nguoi pha loang
12865 diluviate	lam loang
12866 diluviums	phong pha loang
12867 dimensional	chieu
12868 dimensionless	khong thu nguyen
12869 dimeran	bi tong tien
12870 dimerous	song phuong
12871 dimeter	dimeter
12872 dimethyl	dimetyl
12873 dimetric	dimetric
12874 dimication	thieu mau
12875 dimidiation	su mo di
12876 diminution	nho dan
12877 dimit	anh ay di
12878 dimmed	mo di
12879 dimmish	nhat nheo
12880 dimorphous	luong hinh
12881 dimplement	lum dong tien
12882 dimply	dimply
12883 dimyaria	dimyaria
12884 dimyarian	dimyarian
12885 dimyary	dimyary
12886 dinaphthyl	dinaphthyl
12887 dinar	dinar
12888 dinarchy	tinh trang vo chinh phu
12889 dinetical	an com
12890 ding	ding
12891 dingdong	Ding Dong
12892 dinged	dinged
12893 dingey	dingey
12894 dinghy	xuong ba la
12895 dingle	dingle
12896 dingle-dangle	dingle-dangle
12897 dingo	dingo
12898 dingthrift	dingthrift
12899 dinichthys	dinichthys
12900 dinmont	dinmont
12901 dinnerless	khong an toi
12902 dinoceras	dinoceras
12903 dinosaurian	khung long
12904 dinothere	dinothere
12905 dinotherium	dinotherium
12906 dinoxide	dinoxide
12907 dinsome	dinsome
12908 dint	dint
12909 dinumeration	dinumeration
12910 diocese	giao khu
12911 dioceses	giao phan
12912 diodon	diodon
12913 diodont	diodont
12914 dioecia	dioecy
12915 dioecian	dioecian
12916 dioeciousness	tinh di nghi
12917 dioecism	thuyet dioecism
12918 diogenes	diogenes
12919 diomedea	Diomedes
12920 dionaea	Dionea
12921 dionysian	dionysian
12922 diophantine	diophantine
12923 diopside	diopside
12924 dioptase	dioptase
12925 dioptra	diopters
12926 dioptre	dioptre
12927 dioptric	dioptric
12928 dioptrical	dioptrical
12929 dioptrics	dioptrics
12930 dioptry	dioptry
12931 diorama	diorama
12932 diorism	diorism
12933 dioristic	dioristic
12934 diorite	diorit
12935 dioritic	dioritic
12936 diorthotic	diorthotic
12937 dioscorea	dioscorea
12938 diota	diota
12939 dioxide	dioxit
12940 dioxindol	dioxindol
12941 dipaschal	dipschal
12942 diphenyl	diphenyl
12943 diphtheritic	bach hau
12944 diphthong	Nguyen am doi
12945 diphthongization	song ngu hoa
12946 diphygenic	gay di ung
12947 diphyodont	diphyodont
12948 diphyozooid	diphyozooid
12949 diplanar	nguoi trien khai
12950 dipleidoscope	kinh luong phan
12951 diploe	trien khai
12952 diplomat	nha ngoai giao
12953 diplomate	Nha ngoai giao
12954 diplomatically	ngoai giao
12955 diplomatism	chu nghia ngoai giao
12956 diplomatist	mot nha ngoai giao
12957 diplopia	nhin doi
12958 diplopod	diplopod
12959 diplopoda	diplopoda
12960 diplopy	luong lu
12961 diplostemonous	than kep
12962 dipneumona	viem phoi
12963 dippel's oil	dau dippel
12964 dipper	gao
12965 dipropyl	dipropyl
12966 diprotodon	diprotodon
12967 dipsas	ban co khat nuoc
12968 dipsomania	dipsomania
12969 dipsomaniac	dipsomaniac
12970 dipsomaniacal	dipsomaniacal
12971 dipsosis	chung luong tinh
12972 diptera	luong long
12973 dipteral	luong the
12974 dipteran	dipteran
12975 dipterocarpus	cay khop
12976 diptote	diptote
12977 diptych	luong cu
12978 dipyre	dipyre
12979 dipyrenous	loi kep
12980 dipyridil	dipyridil
12981 dipyridine	dipyridine
12982 direct-acting	Hanh dong truc tiep
12983 directed	Chi dao
12984 directer	truc tiep hon
12985 directness	su boc truc
12986 directorate	ban giam doc
12987 directorship	quyen giam doc
12988 directory	danh muc
12989 directrixes	nguoi truc tiep
12990 direness	tham khoc
12991 direption	chi thi
12992 direptitious	thuoc ve
12993 dirge	dirge
12994 diriment	ho se pha huy
12995 dirk	dirk
12996 dirl	dirl
12997 dirt	chat ban
12998 dis	dis
12999 disabled	Vo hieu hoa
13000 disacidify	lam bien chat
13001 disadventurous	khong mao hiem
13002 disaffirmance	su khong khang dinh
13003 disaffirmation	su khang dinh
13004 disalliege	disalliege
13005 disally	disally
13006 disanimation	su giai tan
13007 disannul	disann
13008 disapproved	khong chap thuan
13009 disarmament	giai tru quan bi
13010 disarmer	tuoc vu khi
13011 disarming	giai giap
13012 disattire	huy kich hoat
13013 disaugment	su phan tran
13014 disaventure	tham hoa
13015 disaventurous	phieu luu
13016 disbase	disbase
13017 disburgeon	nguoi giai vay
13018 disburthen	disburthen
13019 discage	quay so
13020 discalceation	su khong hai long
13021 discant	hay de ho hoc
13022 discapacitate	vo hieu hoa ban than
13023 discardure	phe bo
13024 disceptation	su khong chap nhan
13025 disceptator	nguoi tranh luan
13026 discerptible	co the nhan biet duoc
13027 discharged	xuat vien
13028 discharging	phong dien
13029 dischevele	ban quyen
13030 discina	discina
13031 discipleship	mon do hoa
13032 disciplinable	co the ky luat
13033 disciplinableness	tinh ky luat
13034 disciplinarian	nguoi ky luat
13035 disciplining	ky luat
13036 disclaimer	tu choi trach nhiem
13037 disclaunder	nguoi ban dia
13038 discloud	lam on ao
13039 discoboli	nguoi nem dia
13040 discobolus	discobolus
13041 discodactyl	discodactyl
13042 discodactylia	disodactylia
13043 discodactylous	disodactylous
13044 discoherent	co kha nang phat hien
13045 discoid	discoid
13046 discolorate	doi mau
13047 discoloring	su doi mau
13048 discommodity	khong hang hoa
13049 discompany	discompany
13050 discomposed	phat hien ra
13051 disconcerting	lam roi tri
13052 disconcertion	su phan van
13053 disconsecrate	phan tran
13054 disconsolacy	su trai y
13055 discontinuing	ngung tiep tuc
13056 disconvenience	khong thuan tien
13057 discophora	vu truong
13058 discordable	khong hoa hop
13059 discorrespondent	ho tuong ung
13060 discountable	co the chiet khau
13061 discounter	nguoi chiet khau
13062 discounting	chiet khau
13063 discourageable	khong khuyen khich
13064 discourager	nguoi lam nan long
13065 discoursed	bi xao tron
13066 discover	phat hien
13067 discoverability	kha nang kham pha
13068 discovered	da phat hien
13069 discoverer	nguoi kham pha
13070 discredited	mat uy tin
13071 discreditor	nguoi lam mat uy tin
13072 discrepant	trai nguoc nhau
13073 discretion	su tuy y
13074 discretive	tuy nghi
13075 discriminator	nguoi phan biet doi xu
13076 discriminous	phan biet doi xu
13077 discrowned	bi danh trong lang
13078 discrowning	phan van
13079 discurrent	ho chay di
13080 discursus	dam luan
13081 discuses	nem dia
13082 discuss	ban luan
13083 discusser	nguoi thao luan
13084 discussive	thao luan
13085 discutient	ho se thao luan
13086 disdeify	phong than
13087 disdiaclast	disdiaclast
13088 diseased	bi benh
13089 diselder	nguoi thao do
13090 disembodiment	su thao do
13091 disembowelment	su coi bo
13092 disembowered	mat suc
13093 disembroiling	xuong tau
13094 disemployment	nghi viec
13095 disenchanted	tinh ngo
13096 disenclose	rut day ra
13097 disendow	sup len
13098 disengaged	khong gan ket
13099 disennoble	coi truong
13100 disenrolling	rut ten ra
13101 disenslave	coi bo no le
13102 disenter	nguoi phan tran
13103 disenthrall	lam trat tu
13104 disenthrone	disenthrone
13105 disentrail	trat duong ray
13106 disentwine	disentwine
13107 disertitude	thai do ngang nguoc
13108 disesteem	loan duong
13109 disesteemed	disethemes
13110 disesteeming	disesteem
13111 disfellowship	khong thong cong
13112 disforestation	pha rung
13113 disfranchising	tuoc quyen
13114 disfrock	be khoa
13115 disgage	hanh ly
13116 disgarland	disgarland
13117 disgestion	tieu hoa
13118 disglorifying	lam ghe tom
13119 disgrace	Ghet bo
13120 disgraced	that sung
13121 disgraceful	ho then
13122 disgracer	nguoi lam xau mat
13123 disgraduate	tot nghiep dai hoc
13124 disguisement	nguy trang
13125 disguiser	nguoi cai trang
13126 dishabille	phuc hoi chuc nang
13127 dishaunt	huong di
13128 dishclout	khan lau bat dia
13129 disheartening	lam that vong
13130 dishelm	lam buon long
13131 disherit	chen dia
13132 disheriting	trong trang tinh
13133 dishful	day mon an
13134 dishfuls	bat dia
13135 dishonorable	de tien
13136 dishumor	nguoi rua bat dia
13137 dishwasher	May rua chen
13138 dishwater	nuoc rua chen
13139 disimpark	disimpark
13140 disincorporate	khong hop tac
13141 disincorporation	su thanh lap
13142 disinfector	chat khu trung
13143 disinhabited	khong co nguoi o
13144 disinheritance	khong thua ke
13145 disinherited	khong duoc thua ke
13146 disinhume	disinhume
13147 disintegration	su tan ra
13148 disintegrator	nguoi lam tan ra
13149 disinthrall	disinthrall
13150 disinvestiture	cac khoan dau tu
13151 disinvigorate	tay ue
13152 disjoining	roi nhau
13153 disjuncture	dut lia
13154 diskless	diskless
13155 dislodge	danh bat
13156 disloyalty	khong trung thanh
13157 disman	disman
13158 dismarch	tinh bot nghe
13159 dismasting	thao bo
13160 dismayful	Desmivel
13161 dismaying	mat tinh than
13162 disme	noi voi toi
13163 dismember	su chia cat
13164 dismission	su bo qua
13165 dismortgaging	xuong ngua
13166 dismounted	thao xuong
13167 dismounting	xuong xe
13168 disnaturalize	vo tu hoa
13169 disobeisant	dang ngai
13170 disobliger	khong noi chuyen
13171 disorderly	mat trat tu
13172 disorganization	su vo to chuc
13173 disorganizer	nguoi vo to chuc
13174 disorientate	mat phuong huong
13175 disoxidate	disoxidate
13176 disoxidation	su khu oxy hoa
13177 disoxygenate	disoxygenate
13178 disoxygenation	khu oxy
13179 disparaged	bi che bai
13180 disparities	chenh lech
13181 dispassioned	phan bua
13182 dispatch	gui di
13183 dispatchful	co cong van
13184 dispatchment	cu di
13185 dispensatories	tram y te
13186 dispenser	may rut
13187 dispensing	pha che
13188 disperple	nguoi phan cong
13189 dispirit	dispirit
13190 displacement	su doi cho
